t1_prior,11,12,21,22,we1,we2,e1,e2,payoff
0.25,0.2424242424,0.7575757576,0.0,0.0,0.6818181818,0.0,0.0,0.3181818182,-1.02272727273
0.26,0.226044226,0.773955774,0.0,0.0,0.6818181818,0.0,0.0,0.3181818182,-1.03090909091
0.27,0.2092154421,0.7907845579,0.0,0.0,0.6818181818,0.0,0.0,0.3181818182,-1.03909090909
0.28,0.1919191919,0.8080808081,0.0,0.0,0.6818181818,0.0,0.0,0.3181818182,-1.04727272727
0.29,0.1741357234,0.8258642766,0.0,0.0,0.6818181818,0.0,0.0,0.3181818182,-1.05545454545
0.3,0.1558441558,0.8441558442,0.0,0.0,0.6818181818,0.0,0.0,0.3181818182,-1.06363636364
0.31,0.1370223979,0.8629776021,0.0,0.0,0.6818181818,0.0,0.0,0.3181818182,-1.07181818182
0.32,0.1176470588,0.8823529412,0.0,0.0,0.6818181818,0.0,0.0,0.3181818182,-1.08
0.33,0.0976933514,0.9023066486,0.0,0.0,0.6818181818,0.0,0.0,0.3181818182,-1.08818181818
0.34,0.0771349862,0.9228650138,0.0,0.0,0.6818181818,0.0,0.0,0.3181818182,-1.09636363636
0.35,0.0559440559,0.9440559441,0.0,0.0,0.6818181818,0.0,0.0,0.3181818182,-1.10454545455
0.36,0.0340909091,0.9659090909,0.0,0.0,0.6818181818,0.0,0.0,0.3181818182,-1.11272727273
0.37,0.0115440115,0.9884559885,0.0,0.0,0.6818181818,0.0,0.0,0.3181818182,-1.12090909091
0.38,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.124
0.39,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.122
0.4,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.12
0.41,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.118
0.42,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.116
0.43,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.114
0.44,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.112
0.45,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.11
0.46,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.108
0.47,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.106
0.48,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.104
0.49,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.102
0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.1
0.51,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.098
0.52,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.096
0.53,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.094
0.54,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.092
0.55,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.09
0.56,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.088
0.57,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.086
0.58,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.084
0.59,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.082
0.6,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.08
0.61,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.078
0.62,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.076
0.63,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.074
0.64,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.072
0.65,0.0,0.983805668,0.0,0.016194332,0.7894736842,0.0,0.2105263158,0.0,-1.06578947368
0.66,0.0,0.961722488,0.0,0.038277512,0.7894736842,0.0,0.2105263158,0.0,-1.05789473684
0.67,0.0,0.9402985075,0.0,0.0597014925,0.7894736842,0.0,0.2105263158,0.0,-1.05
0.68,0.0,0.919504644,0.0,0.080495356,0.7894736842,0.0,0.2105263158,0.0,-1.04210526316
0.69,0.0,0.8993135011,0.0,0.1006864989,0.7894736842,0.0,0.2105263158,0.0,-1.03421052632
0.7,0.0,0.8796992481,0.0,0.1203007519,0.7894736842,0.0,0.2105263158,0.0,-1.02631578947
0.71,0.0,0.8606375093,0.0,0.1393624907,0.7894736842,0.0,0.2105263158,0.0,-1.01842105263
0.72,0.0,0.8421052632,0.0,0.1578947368,0.7894736842,0.0,0.2105263158,0.0,-1.01052631579
0.73,0.0,0.8240807498,0.0,0.1759192502,0.7894736842,0.0,0.2105263158,0.0,-1.00263157895
0.74,0.0,0.8065433855,0.0,0.1934566145,0.7894736842,0.0,0.2105263158,0.0,-0.994736842105
0.75,0.0,0.7894736842,0.0,0.2105263158,0.7894736842,0.0,0.2105263158,0.0,-0.986842105263
0.76,0.0,0.7728531856,0.0,0.2271468144,0.7894736842,0.0,0.2105263158,0.0,-0.978947368421
