t1_prior,equilibrium,11,12,21,22,we1,we2,e1,e2,payoff,uniform
0.35,nash,0.4157740993,0.5842259007,0.0,0.0,0.6818181818,0.0,0.0,0.3181818182,-2.36075949367,-2.69477848102
0.35,stackelberg,1.0,-0.0,0.0,1.0,0.681818181818,0.0,0.0,0.318181818182,-2.27784090909,-2.93125
0.36,nash,0.4066455696,0.5933544304,0.0,0.0,0.6818181818,0.0,0.0,0.3181818182,-2.36075949367,-2.69477848102
0.36,stackelberg,1.0,-0.0,0.0,1.0,0.681818181818,0.0,0.0,0.318181818182,-2.28090909091,-2.9225
0.37,nash,0.3972272453,0.6027727547,0.0,0.0,0.6818181818,0.0,0.0,0.3181818182,-2.36075949367,-2.69477848103
0.37,stackelberg,1.0,-0.0,0.0,1.0,0.681818181818,0.0,0.0,0.318181818182,-2.28397727273,-2.91375
0.38,nash,0.3875051041,0.6124948959,0.0,0.0,0.6818181818,0.0,0.0,0.3181818182,-2.36075949367,-2.69477848103
0.38,stackelberg,1.0,-0.0,0.0,1.0,0.681818181818,0.0,0.0,0.318181818182,-2.28704545455,-2.905
0.39,nash,0.3774642042,0.6225357958,0.0,0.0,0.6818181818,0.0,0.0,0.3181818182,-2.36075949367,-2.69477848101
0.39,stackelberg,1.0,-0.0,0.0,1.0,0.681818181818,0.0,0.0,0.318181818182,-2.29011363636,-2.89625
0.4,nash,0.3670886076,0.6329113924,0.0,0.0,0.6818181818,0.0,0.0,0.3181818182,-2.36075949367,-2.69477848101
0.4,stackelberg,1.0,-0.0,0.0,1.0,0.681818181818,0.0,0.0,0.318181818182,-2.29318181818,-2.8875
0.41,nash,0.3563612959,0.6436387041,0.0,0.0,0.6818181818,0.0,0.0,0.3181818182,-2.36075949368,-2.69477848099
0.41,stackelberg,1.0,-0.0,0.0,1.0,0.681818181818,0.0,0.0,0.318181818182,-2.29625,-2.87875
0.42,nash,0.3452640768,0.6547359232,0.0,0.0,0.6818181818,0.0,0.0,0.3181818182,-2.36075949367,-2.69477848102
0.42,stackelberg,1.0,-0.0,0.0,1.0,0.681818181818,0.0,0.0,0.318181818182,-2.29931818182,-2.87
0.43,nash,0.3337774817,0.6662225183,0.0,0.0,0.6818181818,0.0,0.0,0.3181818182,-2.36075949367,-2.694778481
0.43,stackelberg,1.0,-0.0,0.0,1.0,0.681818181818,0.0,0.0,0.318181818182,-2.30238636364,-2.86125
0.44,nash,0.321880651,0.678119349,0.0,0.0,0.6818181818,0.0,0.0,0.3181818182,-2.36075949367,-2.69477848101
0.44,stackelberg,1.0,-0.0,0.0,1.0,0.681818181818,0.0,0.0,0.318181818182,-2.30545454545,-2.8525
0.45,nash,0.3095512083,0.6904487917,0.0,0.0,0.6818181818,0.0,0.0,0.3181818182,-2.36075949367,-2.69477848101
0.45,stackelberg,1.0,-0.0,0.0,1.0,0.681818181818,0.0,0.0,0.318181818182,-2.30852272727,-2.84375
0.46,nash,0.2967651195,0.7032348805,0.0,0.0,0.6818181818,0.0,0.0,0.3181818182,-2.36075949366,-2.69477848104
0.46,stackelberg,1.0,-0.0,0.0,1.0,0.681818181818,0.0,0.0,0.318181818182,-2.31159090909,-2.835
0.47,nash,0.2834965369,0.7165034631,0.0,0.0,0.6818181818,0.0,0.0,0.3181818182,-2.36075949367,-2.69477848101
0.47,stackelberg,1.0,-0.0,0.0,1.0,0.681818181818,0.0,0.0,0.318181818182,-2.31465909091,-2.82625
0.48,nash,0.2697176241,0.7302823759,0.0,0.0,0.6818181818,0.0,0.0,0.3181818182,-2.36075949366,-2.69477848103
